state,year,race3,proportion
MS,1936,black,0.00709791790932895
MT,1936,black,1.73119080108185e-05
NC,1936,black,0.00609636812719006
ND,1936,black,5.35010081109358e-06
NE,1936,black,9.46871972742522e-05
NH,1936,black,5.20341136487865e-06
NJ,1936,black,0.00177186909008602
NM,1936,black,3.91198966542382e-05
NV,1936,black,2.83191880258902e-06
NY,1936,black,0.00445417096803029
OH,1936,black,0.00263181743740525
OK,1936,black,0.00119899373264672
OR,1936,black,3.37985185399325e-05
PA,1936,black,0.00376244064432241
RI,1936,black,7.7809135734911e-05
SC,1936,black,0.00517670559105319
SD,1936,black,1.76597732496456e-06
TN,1936,black,0.00346224726682447
TX,1936,black,0.00651260003374007
UT,1936,black,7.98934347198152e-06
VA,1936,black,0.00451486027865825
VT,1936,black,1.15716871421042e-06
WA,1936,black,4.5830772176811e-05
WI,1936,black,9.07452552772385e-05
WV,1936,black,0.000823092853493233
WY,1936,black,5.61930239376938e-06
AK,1937,black,2.21803246497519e-05
AL,1937,black,0.0065232975143241
AR,1937,black,0.00328192355940891
AZ,1937,black,0.000135736401742633
CA,1937,black,0.00108115666330716
CO,1937,black,8.2671701382428e-05
CT,1937,black,0.000271823697727443
DC,1937,black,0.00153640306743837
DE,1937,black,0.000250389873131477
FL,1937,black,0.00370953423734043
GA,1937,black,0.00726528610663859
HI,1937,black,2.57938245458328e-05
IA,1937,black,0.000111942357087389
ID,1937,black,1.38996323223463e-05
IL,1937,black,0.00308705103392794
IN,1937,black,0.000889944103940484
KS,1937,black,0.000516307517803166
KY,1937,black,0.00156542418291617
LA,1937,black,0.00585432548940698
MA,1937,black,0.000455843671677474
MD,1937,black,0.0020445106522658
ME,1937,black,6.68847038081761e-06
MI,1937,black,0.0015907838918629
MN,1937,black,8.75057311274286e-05
MO,1937,black,0.00180998839483833
MS,1937,black,0.00709471791153759
MT,1937,black,1.7388769944703e-05
NC,1937,black,0.00609291133634782
ND,1937,black,5.33274751914803e-06
NE,1937,black,9.48002004042139e-05
NH,1937,black,5.23403312333173e-06
NJ,1937,black,0.0017707149968861
NM,1937,black,3.92611375402123e-05
NV,1937,black,2.79658809261436e-06
NY,1937,black,0.00445675707675711
OH,1937,black,0.00262796522119114
OK,1937,black,0.00119776332020976
OR,1937,black,3.36321074270712e-05
PA,1937,black,0.00376079741473131
RI,1937,black,7.7722227031703e-05
SC,1937,black,0.00517460693763042
SD,1937,black,1.78939169612684e-06
TN,1937,black,0.00345586880250991
TX,1937,black,0.00650855114925505
UT,1937,black,7.981233281441e-06
VA,1937,black,0.00451383109756856
VT,1937,black,1.16314221757899e-06
WA,1937,black,4.54696254251252e-05
WI,1937,black,9.07296620687268e-05
WV,1937,black,0.000822075623177255
WY,1937,black,5.61918082232793e-06
AK,1938,black,2.28638605687413e-05
AL,1938,black,0.00651852544236771
AR,1938,black,0.00327771070583745
AZ,1938,black,0.000135140084416096
CA,1938,black,0.00107707530358763
CO,1938,black,8.24918125932001e-05
CT,1938,black,0.000271134099976812
DC,1938,black,0.00153640306743837
DE,1938,black,0.000250337764606377
FL,1938,black,0.00370766730725161
